parent,name,size,type
Python_autotest,HomeWork_auto_test,85068,dir
HomeWork_auto_test,.git,46483,dir
.git,COMMIT_EDITMSG,16,file
.git,config,130,file
.git,description,73,file
.git,HEAD,23,file
.git,hooks,23442,dir
hooks,applypatch-msg.sample,478,file
hooks,commit-msg.sample,896,file
hooks,fsmonitor-watchman.sample,4655,file
hooks,post-update.sample,189,file
hooks,pre-applypatch.sample,424,file
hooks,pre-commit.sample,1643,file
hooks,pre-merge-commit.sample,416,file
hooks,pre-push.sample,1374,file
hooks,pre-rebase.sample,4898,file
hooks,pre-receive.sample,544,file
hooks,prepare-commit-msg.sample,1492,file
hooks,push-to-checkout.sample,2783,file
hooks,update.sample,3650,file
.git,index,2787,file
.git,info,240,dir
info,exclude,240,file
.git,logs,2086,dir
logs,HEAD,1043,file
logs,refs,1043,dir
refs,heads,1043,dir
heads,master,1043,file
.git,objects,17645,dir
objects,01,509,dir
01,8cf310d573f48cf09b26b704a40607ed51f6ea,509,file
objects,03,162,dir
03,96c0c400682ab2733ab4637183a7b43f468432,162,file
objects,07,197,dir
07,44e8682c51fddb608e2f5575e36218ac73eb56,197,file
objects,0d,116,dir
0d,23208f1143259c8205d44da0f0a9f905404c29,116,file
objects,11,446,dir
11,d0c8b53e5f492fd9469757fc4df4f6390e7bee,446,file
objects,1b,415,dir
1b,ff779f556ff6c49883993bbf472f37ccbdc2c0,415,file
objects,2d,166,dir
2d,7f0158e22b5ad87d8192167d3f03c06067e095,166,file
objects,2e,541,dir
2e,af0b1084112d7b02f72ee6edfc4304af3ce874,541,file
objects,2f,63,dir
2f,66cf4b9f458e374942c731e2a34dbb9fffeb27,63,file
objects,30,821,dir
30,27aad7ff44a4f5e51993370b68ebe7e21cb986,698,file
30,5638cd86db28eb1f06dac876920d988ce7b0f0,123,file
objects,3a,75,dir
3a,5a2c22976c34e5b68cb22e89244e15568d531c,75,file
objects,4b,15,dir
4b,825dc642cb6eb9a060e54bf8d69288fbee4904,15,file
objects,4e,71,dir
4e,c6891f464c94812bfb15e9c7e7d776a351781c,71,file
objects,4f,161,dir
4f,35da09bc33ea202be2698f9fe8aa5b274d0dc0,161,file
objects,58,555,dir
58,66ea5fe856efc8b817bb7dfca551a0457910fe,555,file
objects,59,160,dir
59,9bf71b856126596ee14aeb27c238a30ff627f6,160,file
objects,5c,1495,dir
5c,b8fe4843ff27c234eadb48156eedca790f22d7,1280,file
5c,fb9924f77e77bce9d6e4c7e5ca158d9fbf2be2,215,file
objects,5e,407,dir
5e,177640b2e91dad1a18aaf423366f806a09fd8f,407,file
objects,63,161,dir
63,c1bc91e53aab64d0ddcf6aa8761fb3a3446264,161,file
objects,65,430,dir
